//create-post(uId; tags; "content"; photoId)
create-post(u9; #nth; "[B_CP] nothing is here"; 53)
create-post(u34; #nth; "[B_CP] content"; 85)
create-post(u37; #nth; "[B_CP] sth is here hihi and nothing is here"; 21)
create-post(u34; #nth; "[B_CP] nothing is here but nothing is not here"; 31)
create-post(u46; #nth; "[B_CP] sth is here hihi and nothing is here"; 53)
create-post(u21; #nth; "[B_CP] nothing is here but nothing is not here"; 69)
create-post(u50; #nth; "[B_CP] content"; 81)
create-post(u13; #nth; "[B_CP] sth is here hihi"; 21)
create-post(u35; #nth; "[B_CP] nothing is here"; 92)
create-post(u52; #nth; "[B_CP] content"; 47)
create-post(u11; #nth; "[B_CP] hi"; 98)
create-post(u29; #nth; "[B_CP] there"; 92)
create-post(u43; #nth; "[B_CP] button"; 94)
create-post(u49; #nth; "[B_CP] one"; 85)
create-post(u50; #nth; "[B_CP] is "; 34)
create-post(u8; #nth; "[B_CP] content"; 56)
create-post(u27; #nth; "[B_CP] sth is here hihi"; 90)
create-post(u9; #nth; "[B_CP] nothing is here"; 85)
create-post(u40; #nth; "[B_CP] content"; 62)
create-post(u10; #nth; "[B_CP] sth is here hihi and nothing is here"; 80)
create-post(u20; #nth; "[B_CP] nothing is here but nothing is not here"; 56)
create-post(u37; #nth; "[B_CP] sth is here hihi and nothing is here"; 48)
create-post(u18; #nth; "[B_CP] nothing is here but nothing is not here"; 26)
create-post(u24; #nth; "[B_CP] content"; 33)
create-post(u52; #nth; "[B_CP] hi"; 94)
create-post(u31; #nth; "[B_CP] there"; 95)
create-post(u41; #nth; "[B_CP] button"; 23)
create-post(u35; #nth; "[B_CP] one"; 34)
create-post(u25; #nth; "[B_CP] is "; 73)
create-post(u54; #nth; "[B_CP] content"; 53)
create-post(u11; #nth; "[B_CP] sth is here hihi"; 50)
create-post(u14; #nth; "[B_CP] nothing is here"; 68)
create-post(u32; #nth; "[B_CP] content"; 61)
create-post(u38; #nth; "[B_CP] sth is here hihi and nothing is here"; 82)
create-post(u47; #nth; "[B_CP] nothing is here but nothing is not here"; 85)
create-post(u42; #nth; "[B_CP] sth is here hihi and nothing is here"; 30)
create-post(u26; #nth; "[B_CP] nothing is here but nothing is not here"; 99)
create-post(u34; #nth; "[B_CP] content"; 51)
create-post(u25; #nth; "[B_CP] content"; 32)
create-post(u26; #nth; "[B_CP] hi"; 67)
create-post(u49; #nth; "[B_CP] there"; 27)
create-post(u51; #nth; "[B_CP] button"; 50)
create-post(u47; #nth; "[B_CP] one"; 23)
create-post(u9; #nth; "[B_CP] is "; 57)
create-post(u54; #nth; "[B_CP] content"; 71)
create-post(u33; #nth; "[B_CP] sth is here hihi"; 35)
create-post(u14; #nth; "[B_CP] nothing is here"; 26)
create-post(u26; #nth; "[B_CP] content"; 71)
create-post(u36; #nth; "[B_CP] sth is here hihi and nothing is here"; 63)
create-post(u21; #nth; "[B_CP] nothing is here but nothing is not here"; 47)
create-post(u20; #nth; "[B_CP] sth is here hihi and nothing is here"; 28)
create-post(u29; #nth; "[B_CP] nothing is here but nothing is not here"; 51)
create-post(u29; #nth; "[B_CP] content"; 78)
create-post(u48; #nth; "[B_CP] sth is here hihi"; 37)
create-post(u19; #nth; "[B_CP] nothing is here"; 40)
create-post(u40; #nth; "[B_CP] content"; 83)
create-post(u19; #nth; "[B_CP] hi"; 27)
